trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
10;0;53;120.0371847;0;52;121.1607052;0;48;115.8862938
25;0;63;118.3938573;0;55;115.3855423;0;60;112.1560399
40;0;66;118.1879855;0;62;114.7291499;0;61;111.005897
55;0;55;117.2434128;0;54;110.81105;0;57;109.3323335
70;0;55;114.6747988;0;64;112.4318948;0;54;108.938398
85;0;56;114.4879193;1;50;112.037952;0;55;108.4217348
100;0;65;114.608448;1;47;111.4397917;0;49;108.8003657
115;0;71;114.723118;0;52;111.7905914;0;53;109.160704
130;0;61;109.8563499;0;44;111.4058893;0;51;106.7330516
145;0;62;105.9417535;0;47;110.505365;0;50;103.9894659
160;0;64;103.7076142;0;41;108.1252961;0;48;100.7609125
175;0;55;101.6543048;0;44;108.3841043;0;48;99.52617969
190;0;60;98.18845252;1;38;107.2496564;0;43;96.49399014
205;1;57;95.92310804;0;40;106.2824019;0;45;94.31833067
220;0;58;93.27724859;1;45;104.4427549;1;41;91.028091
235;0;59;89.84333168;1;50;103.2327474;2;37;87.72478493
250;1;52;87.03722008;1;47;104.1556563;1;39;86.90353822
265;1;49;85.87905447;1;42;103.5954509;1;49;86.19176495
280;0;49;85.11348019;1;41;104.3131898;3;36;86.5501242
295;0;62;87.32605863;1;40;105.1889888;2;42;88.82750146
310;1;57;89.16177615;1;38;104.9513235;1;41;89.72923726
325;0;51;89.68627609;0;43;104.6778984;1;45;89.553707
340;0;54;89.47095041;0;45;103.2818215;1;40;87.83544837
355;0;55;89.89203313;0;44;102.7773083;1;37;87.21485269
370;0;54;93.16465047;1;39;102.5699424;0;38;88.76113707
385;0;55;91.69276783;1;42;102.4229981;0;37;88.09724078
400;0;57;87.54034021;1;38;102.8079785;0;42;85.87230837
415;0;61;84.79473085;1;43;101.5650547;0;37;82.49284703
430;1;53;83.29542581;1;42;102.0680552;0;37;82.45598584
445;1;45;82.11250163;1;42;100.3495778;1;36;80.05604704
460;0;48;84.09613217;1;42;100.6541357;0;37;82.21205527
475;0;40;84.85010694;0;45;100.8240681;0;38;82.66169278
490;0;39;84.80803587;1;42;100.4724313;0;38;82.32299066
505;0;39;81.81639254;1;43;99.11884484;1;36;79.27533188
520;1;39;82.19338967;1;43;98.84684218;0;34;79.52857893
535;1;37;79.95016526;1;42;98.55907784;1;30;77.61946731
