trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
10;0;53;120.0371847;0;52;121.1607052;0;58;125.6197248
260;0;50;85.72136896;1;45;103.8311025;1;43;95.41063709
510;0;39;81.71916267;1;43;99.87088373;0;41;94.84451148
760;3;35;75.32189899;1;42;90.41090209;2;33;80.84478214
1010;3;33;72.25256751;1;40;81.65141661;3;30;74.63990235
1260;2;30;67.82206177;1;36;75.97168551;1;28;70.23272796
1510;0;30;68.24315989;2;38;73.13677587;0;28;66.61308104
1760;0;31;59.95328534;3;25;67.60680536;0;26;57.94974977
2010;0;32;59.38412994;1;30;63.78459085;2;24;55.7062572
2260;0;27;56.72863936;1;29;65.43081294;0;26;55.96337013
2510;0;26;57.44740933;1;21;61.25716315;1;21;52.52775966
2760;0;22;56.20707227;0;25;61.44695618;0;18;53.23351849
3010;1;22;55.00135821;3;20;59.70493952;0;20;52.237257
3260;1;19;55.39661292;2;18;56.57657344;0;19;50.51530448
3510;1;19;53.7133786;1;23;53.58229596;1;18;48.19043678
3760;2;19;53.43984222;2;21;52.14785464;1;19;46.93117768
