trace_nb;correct_bytes;log2(key_rank)
10;0;116.3750594
20;0;109.5793376
30;1;105.9141036
40;0;101.5929338
50;0;105.8363321
60;0;102.5416054
70;0;101.8512495
80;0;102.6048988
90;1;99.52322386
100;0;98.32793875
110;1;97.59448085
120;0;97.03736079
130;0;96.41740136
140;1;95.10800566
150;1;97.00095027
160;0;95.74709509
170;0;95.39349662
180;0;94.03619137
190;0;92.56015347
200;0;92.27674912
210;0;92.8274302
220;0;91.50242105
230;0;90.97167764
240;0;90.55785677
250;0;89.25159415
260;0;87.67984504
270;0;87.64620883
280;0;86.44447682
290;0;85.76762884
300;1;84.69469535
310;0;85.682138
320;0;85.88383414
330;0;85.68439425
340;0;84.60757275
350;0;84.75464875
360;0;84.78431474
370;0;84.9301325
380;0;84.99631675
390;0;84.56368163
400;0;84.76552883
410;0;84.04786188
420;0;83.57778399
430;1;84.41348015
440;1;84.68419212
450;1;85.05957196
460;1;85.23650778
470;1;84.82025007
480;0;85.60144916
490;1;85.40457836
500;0;84.42708669
530;0;83.07954308
560;0;81.86912393
590;0;82.14236773
620;0;82.64587016
650;0;82.35690364
680;0;82.81110008
710;0;82.48137801
740;0;82.19029903
770;0;82.15020395
800;0;81.54363835
830;0;81.70605347
860;0;81.68966667
890;1;81.14887859
920;0;81.35760288
950;0;81.36197679
980;0;80.81075152
1000;0;80.82162073
1060;0;81.20214607
1120;0;80.93482861
1180;0;81.41315342
1240;0;82.00150882
1300;0;81.70151331
1360;0;81.89728834
1420;0;81.91096659
1480;0;82.16325426
1540;0;81.90475176
1600;0;81.69396981
1660;0;81.72400211
1720;0;81.73726482
1780;0;81.52868466
1840;0;81.93581247
1900;0;82.08691455
1960;0;81.58499743
2000;0;80.95320133
2200;0;80.09627873
2400;0;80.06283992
2600;0;79.56349653
2800;1;79.1666944
3000;1;79.01799793
3200;2;79.00878945
3400;2;78.61372979
3600;1;78.55176875
3800;1;78.31876431
