trace_nb;correct_bytes;log2(key_rank)
10;0;127.5256052
20;0;127.2643681
30;0;127.1060494
40;0;127.7416033
50;0;127.8623033
60;0;127.8284022
70;0;127.648417
80;0;127.8054744
90;0;127.7587139
100;1;127.7401966
110;0;127.8298132
120;0;127.6437214
130;0;127.6007738
140;0;127.4153309
150;0;127.4250048
160;0;126.6658781
170;0;127.0788955
180;0;127.0619866
190;0;126.8872713
200;0;126.4251541
210;1;126.1942563
220;0;126.1951101
230;0;126.3534803
240;0;126.1144539
250;0;126.3936851
260;0;126.0836435
270;0;126.2783639
280;0;126.3201238
290;0;126.4865727
300;0;126.3736281
310;0;126.2369589
320;0;125.9884476
330;0;125.8706378
340;0;126.6226492
350;0;126.5983969
360;0;126.4933395
370;0;126.3603829
380;0;126.6113764
390;0;126.8481604
400;0;126.9589044
410;0;127.1442233
420;0;127.2151845
430;0;127.1187157
440;0;127.1332704
450;0;127.0497025
460;0;127.0780648
470;0;126.9666393
480;0;126.89139
490;0;126.8492234
500;0;126.9279253
530;0;127.1748228
560;0;127.0088635
590;0;127.1474876
620;0;126.8723115
650;0;127.0035318
680;0;127.0594908
710;0;126.5639497
740;0;126.5156311
770;0;126.8765375
800;0;126.6946732
830;0;127.0070246
860;0;127.2271181
890;0;127.3549261
920;0;127.1567566
950;0;127.2674117
980;0;127.3931569
1000;0;127.3298079
1060;0;127.2936617
1120;0;127.2957163
1180;0;127.183523
1240;0;126.8460043
1300;0;126.3011089
1360;0;125.6336246
1420;0;125.6634665
1480;0;125.0665256
1540;0;124.6516086
1600;0;124.7839501
1660;0;123.6499857
1720;0;122.8014889
1780;0;122.6893981
1840;0;122.0876234
1900;0;122.2037561
1960;0;122.8316944
2000;0;122.8596528
2200;0;123.3251162
2400;0;123.4930837
2600;0;123.7894962
2800;0;122.8399813
3000;0;123.2108082
3200;0;122.8906862
3400;0;121.9810096
3600;0;122.1795689
3800;0;122.8609405
