trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
10;0;51;111.7404784;0;59;123.082122;0;48;111.7695117
14;1;45;100.0698362;1;52;118.3854637;1;40;96.1113162
18;1;34;91.40969517;0;54;115.0218693;0;42;88.74948845
22;1;28;85.65962553;0;44;109.1641311;1;36;80.39476508
26;3;27;78.50197603;1;40;105.0378538;2;34;74.56806187
30;2;23;68.02912446;0;33;102.031803;3;27;65.19328843
34;2;25;69.83028095;1;37;94.54722618;4;21;58.61992303
38;4;19;62.1672175;1;34;88.76802789;4;20;50.73927417
42;4;22;59.55058016;3;29;84.37132266;4;20;46.89944415
46;3;23;55.92341798;3;28;76.82938109;4;19;41.2062041
50;3;20;53.88246273;3;25;73.44211249;4;17;40.13054718
54;2;20;51.54288668;3;23;70.4536342;4;17;38.21046472
58;6;14;49.61920507;3;25;69.16008274;6;14;35.67313455
62;4;21;49.53368286;4;24;64.60812642;5;15;33.80205174
66;4;18;47.96536002;4;23;58.46625501;6;12;27.85180947
70;4;17;48.16523604;4;22;60.24929578;7;11;27.48489874
74;5;17;48.10974826;4;26;58.26871584;8;10;26.39179765
78;5;14;46.39582874;5;22;53.86373416;11;6;22.69655478
82;6;13;44.34220951;5;22;50.40213901;12;5;19.38674663
86;7;11;43.76840353;7;16;47.82011246;10;7;20.38061642
90;6;13;42.78944797;6;16;45.51078685;11;5;19.41795138
94;6;13;41.76973742;6;16;42.29645676;10;7;18.42122659
98;4;15;43.31212482;6;16;39.78350834;10;7;18.99405229
102;4;15;42.21659083;6;15;38.18219073;11;5;17.6639194
106;4;14;41.8491983;6;16;39.5654371;11;5;17.59411317
110;4;15;40.05509301;5;21;40.74038915;10;6;16.47973291
114;4;16;40.50481247;6;17;38.19594061;11;5;15.41055073
118;5;14;39.53101788;6;14;39.78930465;10;6;16.074476
122;6;13;39.49198134;4;20;40.83650694;11;5;16.65382473
126;5;13;39.38632702;4;22;41.93879573;11;5;19.15877731
130;5;13;38.970827;6;16;43.17107315;10;6;19.38118382
134;6;13;39.14713765;6;16;46.21731121;10;6;19.96099318
138;5;16;38.83494232;6;15;45.22532522;11;5;19.57369526
142;5;17;37.39068206;5;17;44.28974038;11;5;18.86112326
146;5;17;37.80145898;6;15;47.10920778;10;7;21.55801378
150;6;14;38.16980124;7;17;49.51830793;10;7;23.06194745
154;7;11;37.29495366;6;20;49.60044105;11;6;20.97998822
158;7;11;36.26719516;5;20;50.63333901;9;8;21.22938096
162;6;13;36.4308466;6;17;48.30135346;11;5;21.27151945
166;8;10;36.32926988;6;17;44.82633059;11;5;19.80010679
170;6;12;37.53676641;5;17;44.75196238;11;5;20.74779962
174;6;13;37.39787715;5;17;43.16407886;11;5;20.90061994
178;5;14;37.57509785;5;17;42.61907113;12;4;20.74810766
182;5;13;37.04911981;5;17;42.68698862;11;5;20.78489599
186;6;12;37.32530933;6;18;40.82932304;11;6;19.10050065
190;6;12;36.90586144;7;15;38.9187687;11;6;18.1995765
194;6;12;36.14546535;5;18;36.69453697;11;5;16.34625401
198;5;14;35.54983282;5;18;36.74708777;11;5;17.26830441
202;5;13;37.33826956;9;13;34.75117532;11;5;16.72851844
206;6;13;39.49323311;7;15;33.88371325;11;5;16.90995166
210;4;15;41.13876521;6;16;31.6618862;11;5;15.99360184
214;4;15;40.97618542;7;15;29.15156396;12;4;14.70076481
218;5;15;40.35349288;9;11;27.3290475;12;4;13.61850022
222;5;15;39.57772539;9;13;28.48511787;13;3;12.8837888
226;5;15;38.18499635;8;12;27.6423481;13;3;12.02236781
230;4;15;36.66102379;8;12;26.62094719;13;3;11.04165915
234;4;16;36.42021484;9;11;23.98973273;13;3;10.13570929
238;3;17;36.95484212;10;10;23.21914946;13;3;9.63481105
242;3;17;36.82336458;11;8;22.50763086;13;3;9.294620749
246;3;17;37.06054222;10;9;21.35352754;14;2;9.493855449
250;3;18;35.98567089;10;9;21.53258279;13;3;9.515699838
258;3;18;35.72900476;11;8;20.1084096;13;3;8.741466986
266;5;15;34.59938232;9;10;20.26164733;14;2;7.942514505
274;5;13;34.01101332;10;9;21.25841939;13;3;8.442943496
282;8;10;32.56960615;8;11;19.74722597;15;1;5.882643049
290;8;10;31.59837097;10;9;20.2166393;15;1;6.375039431
298;8;11;32.05654213;10;6;19.51964969;15;1;6.375039431
306;6;13;32.33032167;11;5;18.07552093;15;1;5.554588852
314;6;13;31.72347453;11;5;18.25218033;15;1;5.426264755
322;5;14;32.12063106;12;4;15.04507705;15;1;4.95419631
330;5;14;32.34863748;12;5;14.40487546;15;1;6.303780748
338;6;13;31.3863876;14;2;12.17990909;15;1;5.209453366
346;6;13;30.39702904;14;2;12.49485558;15;1;4
354;8;11;28.5727418;13;3;11.49085088;15;1;3.584962501
362;6;13;28.7409816;13;3;11.59618976;15;1;3.459431619
370;7;12;29.76154909;11;6;12.79522797;14;2;3.321928095
378;7;12;29.40574224;11;6;16.77834669;14;2;5.882643049
386;6;14;29.17226304;11;6;16.92131796;15;1;5
394;6;14;30.04023039;12;5;14.22513211;14;2;5.044394119
402;6;14;30.13756935;11;8;14.69702184;14;2;4.700439718
410;7;13;30.54075993;13;4;13.81508304;14;2;4.584962501
418;8;13;29.22104688;11;6;12.44527356;15;1;2.321928095
426;6;15;29.24569589;13;3;12.51840728;15;1;2
434;6;15;30.0404869;12;5;12.04473563;15;1;2
442;6;15;30.28855146;12;5;13.75572215;15;1;1.584962501
450;6;15;29.2279029;12;5;12.97369737;15;1;1.584962501
458;8;13;28.35558061;14;2;11.54206454;15;1;1.584962501
466;7;14;28.34944966;14;2;9.741466986;15;1;1.584962501
474;6;15;28.80200693;13;3;10.36632221;15;1;1.584962501
482;7;14;28.40835064;12;5;11.06204614;15;1;1.584962501
490;7;13;28.92590027;13;3;9.799281622;14;2;2.584962501
498;7;13;28.12304913;13;3;7.888743249;15;1;1.584962501
500;7;14;28.19439757;13;3;7.169925001;16;0;1
515;6;14;27.91459279;12;4;8.539158811;14;2;2.807354922
530;6;14;27.71048424;11;7;10.74146699;14;2;3.321928095
545;5;14;28.04033677;11;7;11.24019505;14;2;3.321928095
560;5;15;26.59847551;13;4;8.577428828;15;1;1
575;4;15;26.56412323;12;6;9.791162889;16;0;0
590;7;10;26.34661073;11;7;9.659995892;15;1;1.584962501
605;7;10;25.03083974;11;7;8.422064766;15;1;1
620;6;12;24.18026696;11;7;7.636624621;15;1;1
635;7;11;22.73796914;13;4;5;15;1;1
650;7;10;22.03319444;14;4;3.584962501;16;0;0
665;9;8;22.1044903;14;3;3;16;0;0
680;9;8;21.89787204;15;1;2.584962501;16;0;0
695;10;7;22.14507201;16;0;0;16;0;0
710;10;7;22.09975488;16;0;0;16;0;0
725;9;8;22.08444737;16;0;0;16;0;0
740;8;10;21.25685251;16;0;0;16;0;0
755;10;7;21.83389226;16;0;0;16;0;0
770;9;8;22.52067047;16;0;0;16;0;0
785;9;8;22.43894512;16;0;0;16;0;0
