trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
4;0;60;127.668786;0;60;127.7025421;0;60;127.7025421
5;0;61;127.1260711;0;60;127.2280299;0;61;126.6230671
6;0;56;127.268337;0;58;125.1889006;0;57;125.9900297
7;0;65;127.1220352;1;60;125.2512737;0;71;126.1550142
8;0;57;126.4830583;0;63;127.8770621;0;80;127.6356692
9;0;78;124.3978569;0;62;127.3013601;0;67;126.0015911
10;0;70;123.4284408;0;66;127.4557313;0;57;125.9106909
11;0;66;125.3785422;0;66;127.0271589;0;71;126.1586215
12;0;69;127.6388249;0;74;127.8697719;0;69;127.8760676
13;0;66;125.2078165;0;74;127.3705745;0;58;126.4679072
14;0;62;126.947146;0;60;126.4346652;0;64;126.6170535
15;0;64;127.2765925;0;69;127.7308984;1;69;127.6603296
16;0;68;127.6051263;0;68;127.8468352;0;73;127.8500652
17;0;59;127.5222698;0;65;127.9090007;0;75;127.8771647
18;0;67;126.9428663;0;66;127.8209266;0;72;127.6355312
19;0;66;127.0390769;0;67;127.7029694;0;68;127.5544063
20;0;73;127.6517747;0;72;127.127947;0;68;127.5185062
21;0;69;127.6707998;0;70;125.9333985;0;73;127.0401574
22;0;69;127.7131734;0;73;126.0305709;0;67;127.1299469
23;0;64;127.3476339;0;73;125.8556829;0;68;126.6356229
24;0;60;126.6018881;0;67;125.9222682;1;59;125.9996107
25;0;66;126.7846006;0;64;126.144099;0;73;126.2836498
26;0;66;126.1480903;0;62;126.5400896;0;67;126.1487011
27;0;67;126.1970457;0;63;126.3094184;0;68;125.9767861
28;0;59;126.6113932;0;67;126.0840228;0;68;126.1135893
29;0;70;125.993892;0;66;126.4270025;0;61;125.9640801
30;0;66;125.7102916;0;63;127.2303422;1;67;126.5187367
31;0;66;125.9382059;0;70;126.8618181;0;76;126.2942257
32;0;70;126.2740202;0;72;126.0756145;0;77;125.8398365
33;0;65;125.9901735;0;73;124.521547;0;76;124.5218616
34;0;73;126.5880699;0;73;123.3417434;0;77;124.3467274
35;0;67;126.59548;0;72;123.7105715;0;72;124.5662544
36;0;65;125.7907666;0;65;123.2344622;0;74;123.4033764
37;0;62;125.9995807;0;66;122.313247;0;74;122.9935653
38;0;63;124.8342673;0;60;121.8060225;0;73;121.5375107
39;0;74;125.4589546;0;62;121.7707567;0;66;122.1793468
40;0;73;125.0954433;1;67;120.8873928;0;67;121.1871962
41;0;66;123.9794967;1;67;120.4036379;0;68;119.6862288
42;0;65;122.1537408;0;64;123.624276;0;74;120.8702848
43;1;67;121.9363723;0;65;123.8212582;0;72;120.9097611
44;1;73;122.9238548;0;65;123.1099564;0;71;120.904006
45;0;80;122.1697111;0;61;121.9838667;0;68;119.4505136
46;0;79;122.0449743;0;59;121.2472907;0;72;118.8046953
47;0;78;121.6431689;0;63;120.2215747;0;63;117.6886919
48;0;68;121.8777598;0;57;118.4260329;0;68;116.3573695
49;0;66;121.0470868;0;57;117.1296814;0;70;114.3191326
50;0;66;120.5660924;1;58;116.1893868;0;74;113.2548932
51;0;67;120.2669233;0;67;115.5417497;0;67;112.5198332
52;0;66;119.8580613;1;67;117.611113;0;70;113.9873762
53;0;66;122.7499285;1;62;116.8757007;0;66;115.9869579
54;0;68;121.8933817;1;55;115.9601115;0;68;114.3124301
