trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
2;0;65;123.2974895;0;64;122.4481163;1;66;119.644449
3;1;58;110.5737269;0;66;118.7454353;1;41;104.336762
4;1;57;101.060438;0;52;113.7174575;2;38;91.39706439
5;0;48;94.04037807;0;56;109.8528377;1;35;81.89512521
6;2;42;87.72679442;1;52;109.8193797;4;31;76.32015512
7;4;27;68.66180141;0;56;107.9561702;6;26;62.76396295
8;8;23;58.01191294;1;45;106.3078031;8;16;55.76761504
9;6;24;58.30741954;0;43;99.04572052;7;21;45.5019758
10;5;23;51.63827283;0;44;93.69935692;8;17;38.67951972
11;6;18;41.19214403;3;33;94.11778541;11;10;34.19415636
12;5;21;40.14668698;3;37;90.08497812;11;12;28.93907802
13;7;14;33.45473045;3;39;86.6630068;11;8;26.27591727
14;7;16;34.3221905;4;33;82.49309807;12;9;22.10264951
15;6;21;35.05952623;4;35;80.45953252;12;9;21.18980285
16;9;13;30.65486366;6;27;77.82820682;12;10;19.89719551
17;8;12;28.87236064;6;32;77.11726855;12;8;18.36160971
18;10;9;27.22217041;6;32;72.77235581;12;7;12.63843591
19;9;10;24.8776599;7;31;73.68125157;13;5;13.53588285
20;11;7;19.71753754;7;32;69.32990033;13;7;6.392317423
21;11;7;19.64384738;4;41;68.04792757;14;3;5
22;11;7;21.49178069;5;40;62.67984688;14;5;3.584962501
23;11;9;22.67257252;5;39;61.43357243;14;3;3.584962501
24;12;7;22.92992874;6;30;59.59256938;15;1;2.321928095
25;10;8;21.93716689;7;32;52.7689098;15;1;1
26;11;6;20.15403312;6;33;54.46834655;16;0;0
27;11;8;17.68778573;7;28;54.86499612;16;0;0
28;12;5;15.43911663;7;31;55.16268598;16;0;1.584962501
29;11;6;14.33126687;8;27;51.22794263;16;0;0
30;11;6;14.75931607;7;30;49.86793053;16;0;0
31;10;7;16.43762205;7;29;49.03914917;16;0;0
32;8;11;19.51821323;8;25;46.50054042;16;0;0
33;9;9;16.84033537;9;20;41.19233198;16;0;0
34;9;9;16.29286082;10;16;38.4255874;16;0;0
35;10;7;15.71810471;9;18;37.26103262;16;0;0
36;10;7;16.76810677;9;21;36.89136558;16;0;1
37;10;7;15.84615146;9;21;36.67734242;16;0;0
38;9;10;17.43057506;10;19;33.61034878;16;0;0
39;10;7;16.98009494;10;17;27.12977214;16;0;0
40;10;7;16.73012513;12;11;26.82894051;16;0;0
41;10;6;14.97163336;11;14;23.09331794;16;0;0
42;10;6;14.91345044;11;14;20.94732873;16;0;0
43;10;6;11.18858885;11;16;20.1654738;16;0;0
44;10;6;12.01192607;11;16;20.08227121;16;0;0
45;9;10;16.6781462;11;16;24.06822287;16;0;0
46;9;10;16.64658683;11;14;22.95479056;16;0;0
47;8;11;16.72105913;11;15;20.70701193;16;0;0
48;8;11;16.97532181;11;15;20.56446306;16;0;0
49;9;10;17.31571566;11;15;20.62683996;16;0;0
50;10;9;17.59027271;11;15;20.02712172;16;0;0
51;10;9;17.30411955;11;14;18.18743424;16;0;0
52;10;8;17.0245878;12;9;15.33647169;16;0;0
53;9;9;17.34343732;12;9;15.90091397;16;0;0
54;9;9;16.41061697;12;9;13.84725314;16;0;0
55;10;8;16.66098473;10;16;16.95350306;16;0;0
56;10;8;16.10123707;12;9;15.56218279;16;0;0
57;9;9;15.11101338;13;6;14.75634783;16;0;0
58;9;9;16.24272754;13;6;13.16820201;16;0;0
59;9;9;16.18930337;12;7;11.47725232;16;0;0
60;10;8;15.57417958;12;7;11.85096815;16;0;0
61;10;8;16.24746399;14;3;11.04712391;16;0;0
62;10;8;14.8135307;14;3;10.65015421;16;0;0
63;10;8;14.29519496;14;3;11.05392588;16;0;0
64;10;8;15.99315954;14;4;10.89026428;16;0;0
65;10;8;15.81920613;14;4;10.55554777;16;0;0
66;10;8;16.33971085;12;5;10.69522829;16;0;0
