trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
3;0;67;126.5308602;0;67;126.5308602;0;67;126.5308602
4;0;58;127.0365908;0;58;127.0365908;0;58;127.0365908
5;0;66;124.9829496;0;64;127.3827452;0;62;126.3929425
6;0;64;127.6118776;0;70;124.6948247;0;70;126.6345994
7;0;64;127.343988;0;55;126.1916362;0;62;126.9439142
8;0;60;126.8096746;0;57;126.8788755;0;63;126.7420629
9;0;66;124.6262071;0;60;126.7647766;0;72;125.2574055
10;0;62;127.2836973;0;61;127.4139951;0;64;127.4305667
11;0;64;126.373907;0;63;127.9156676;0;67;127.5929434
12;0;66;123.3006405;0;61;127.8990869;0;72;126.7337555
13;0;68;124.5107472;0;65;127.3244828;0;63;125.9445874
14;0;65;124.0346453;0;60;127.9118358;0;63;126.9733111
15;1;60;126.5263088;0;68;127.9932577;0;70;127.8841142
16;0;57;125.3606393;0;75;127.9831808;0;69;127.6542046
17;2;50;125.0395786;0;70;127.684773;0;65;126.7315657
18;1;48;122.3506749;0;68;127.6517852;0;62;125.610778
19;2;58;120.9604624;0;62;127.1933186;0;57;124.0940744
20;1;58;121.3902822;0;59;126.9816135;0;62;123.9121675
21;2;54;116.9110709;1;56;127.2759063;0;56;122.3503
22;2;51;112.8086589;0;69;127.5021581;0;57;120.9811336
23;1;65;111.8201401;0;65;127.1228769;1;58;119.3924562
24;2;59;106.2919369;0;63;127.0028972;1;69;116.4183193
25;2;53;99.64089642;0;72;127.3498807;1;67;114.3735809
26;3;46;96.58827384;0;73;127.6156359;1;59;113.620478
27;2;62;92.15787194;0;65;127.5390515;1;55;110.6580371
28;3;52;87.43102097;0;63;127.7906685;2;48;109.9085631
29;4;39;79.15501497;0;64;127.2004318;3;42;102.5822933
30;4;44;78.9249666;0;63;126.9036126;4;43;101.6049606
31;4;46;70.36386649;0;51;126.7424399;3;49;95.01123847
32;4;46;65.2453527;0;55;126.4015006;4;48;90.06825718
33;4;53;61.03479103;0;59;126.5066544;4;56;86.8799963
34;6;44;57.73042212;0;58;126.1201097;6;44;83.18891628
35;9;29;55.71946769;0;62;126.85653;4;57;82.09030805
36;9;25;51.45586939;0;58;126.8202437;3;61;78.85260053
37;9;28;47.5333713;0;61;126.4139873;4;56;75.20920318
38;9;28;42.04971602;0;60;125.6555111;4;49;68.56117734
39;10;23;33.79723091;0;61;127.2730261;4;55;71.96467132
40;11;19;31.24279655;0;62;127.1405793;5;52;67.87848511
41;10;21;33.20274784;0;53;126.9492526;4;55;66.16170031
42;11;19;33.14857366;0;54;127.3848761;4;56;68.73069221
43;11;17;30.01109456;0;59;127.3276262;6;48;66.8173972
44;10;19;29.42508054;0;62;126.8119668;7;45;61.78604862
45;11;14;19.81796888;0;61;125.8630446;8;33;51.63005682
46;12;9;19.67285174;0;65;125.981188;8;36;53.03068305
47;13;9;14.73920046;0;72;125.652137;7;50;49.59065856
48;12;12;13.37041497;0;74;124.6975554;7;53;46.36582704
49;12;11;14.59052857;0;80;124.4765853;8;34;42.60800573
50;14;6;10.40620501;0;63;122.3765244;9;29;35.32630221
51;14;6;7.693486957;0;62;121.6230132;8;41;32.18040609
52;14;8;6.129283017;0;67;121.2614934;9;38;27.9654669
53;14;8;9.06608919;0;70;121.5120306;9;36;26.49364013
54;14;8;8.339850003;0;67;121.2191819;9;35;25.19875283
55;14;8;5.129283017;0;64;121.9143894;9;29;24.35553855
56;15;3;3.169925001;0;64;122.0081193;10;30;22.09108248
57;15;3;3.807354922;0;66;121.0661356;10;28;22.77455866
58;15;3;2;0;67;122.4233188;10;31;19.32544381
59;15;3;3.321928095;0;68;122.5754978;10;31;19.36249823
60;15;3;2.321928095;0;65;121.1806822;11;23;13.88455213
61;15;3;2.807354922;0;67;120.7289202;13;15;11.90726625
