trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
3;0;67;126.5308602;0;67;126.5308602;0;67;126.5308602
4;0;58;127.0365908;0;58;127.0365908;0;58;127.0365908
5;0;68;127.2187635;0;66;127.064193;0;63;127.0237768
6;0;65;123.569575;0;63;127.0610834;0;65;125.9596557
7;1;68;127.4863323;0;65;126.7178852;0;66;127.2863177
8;0;61;127.6569483;0;73;126.3728516;0;73;127.2545689
9;0;73;127.2667855;0;56;126.8895475;0;74;127.1248932
10;0;69;127.5159012;0;71;127.1471157;0;75;127.4442949
11;0;67;127.4176281;0;68;126.0751442;0;58;126.8682498
12;0;64;126.305825;0;69;124.269029;0;73;124.7002875
13;1;67;126.3874625;0;68;127.8490092;0;64;127.4889273
14;1;66;125.1576785;0;57;126.817808;0;60;125.6880474
15;1;55;125.6459342;0;57;126.3896438;1;52;125.6070894
16;1;55;125.3492643;0;77;126.9068367;1;55;125.9083642
17;1;53;121.2977058;0;72;126.0069844;0;63;122.5125464
18;2;49;118.0151434;0;64;125.2998904;2;67;119.643085
19;1;63;115.6108887;0;65;127.056808;2;60;121.2123652
20;1;61;120.058046;0;66;126.0904425;2;66;121.8554921
21;2;55;114.0229822;0;64;126.689773;1;65;119.6837594
22;2;54;115.2021426;1;58;125.2275973;2;64;117.7586324
23;2;54;111.5894102;1;68;125.2210204;2;63;115.6147065
24;3;57;103.8989221;1;60;122.514924;4;55;106.90133
25;3;44;99.59119461;0;51;124.2920306;2;61;107.0153936
26;2;63;101.6522499;0;56;122.2732576;3;52;105.8943277
27;1;67;99.63788672;0;59;119.9382235;3;54;102.013855
28;1;69;99.66258931;0;50;117.6353287;2;54;99.21060027
29;2;71;94.4421102;0;55;118.3773516;2;55;96.11622591
30;6;36;86.82006565;0;56;116.8892457;3;51;88.66462973
31;7;28;73.64328285;1;53;117.7082178;4;44;81.7302786
32;7;34;65.6123418;1;58;118.6512965;3;52;76.49625707
33;8;28;62.63059552;1;64;116.7850647;6;40;73.54833264
34;7;38;53.7122853;1;62;117.2443137;5;51;69.42850344
35;7;34;51.53008299;1;66;119.9567071;5;49;67.60832744
36;8;33;48.11039872;1;65;118.25606;6;46;63.8960094
37;9;27;48.03800496;2;58;115.9845471;6;42;58.91348719
38;9;30;47.64625377;2;58;114.5248682;6;45;56.31383381
39;10;26;47.89414061;2;53;111.3577233;7;45;53.90121575
40;10;32;46.00744289;3;53;107.3052377;7;43;48.82864779
41;10;29;42.87693648;3;51;106.3578901;8;33;42.85317348
42;10;28;39.27985409;3;50;100.7688848;9;32;34.81695625
43;10;26;37.46562928;3;47;98.13682356;9;33;36.69008222
44;10;23;41.18390839;3;47;101.3125238;10;24;41.23840793
45;10;23;32.06192601;3;49;104.909049;11;18;36.94376242
46;10;22;29.19176379;3;50;102.1536116;11;15;36.87840406
47;12;16;23.34647572;3;49;99.13435804;10;25;30.51560138
48;12;17;22.52706077;3;50;96.53474567;12;15;27.42376232
49;13;14;19.70189697;3;55;95.93433991;10;23;25.80078899
50;12;19;16.13189714;3;57;93.18627498;10;25;22.37478612
51;14;9;10.13955135;4;52;92.15188352;10;20;20.52296172
52;13;11;8.531381461;3;59;90.74145738;12;17;18.65395765
53;11;21;9.647458426;3;56;90.3622583;11;20;18.33082062
54;13;11;8.836050355;4;52;85.24848805;11;18;16.64503917
55;13;11;8.21916852;3;58;91.30618381;10;24;19.82926749
56;14;7;3.321928095;3;60;91.36316999;12;16;14.80004042
57;15;4;2;3;57;87.80276057;11;19;15.08127537
58;16;0;0;4;55;86.49701862;12;16;14.25303493
59;16;0;0;3;59;89.5243008;13;10;14.12622048
60;16;0;0;4;55;87.47492246;14;7;12.0261776
61;15;2;1;5;43;84.00593117;12;17;12.02479338
