trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
3;0;67;126.5308602;0;67;126.5308602;0;67;126.5308602
4;0;58;127.0365908;0;58;127.0365908;0;58;127.0365908
5;0;65;126.2873342;0;64;126.91526;0;66;126.2620267
6;0;69;126.3921541;0;63;127.7186534;0;63;127.7411117
7;1;68;127.8625751;0;61;127.2910505;0;56;127.7668767
8;0;63;127.9350419;0;68;127.6922031;0;64;127.9333192
9;0;69;127.7084169;0;69;127.4766599;0;67;127.7396592
10;0;64;127.3970184;0;64;127.8200765;0;49;127.8008138
11;0;67;127.6169331;0;60;127.0288842;0;63;127.470813
12;0;77;126.1049853;0;57;126.693814;0;69;126.1530619
13;0;65;124.2325604;0;64;123.6997432;0;62;122.0769396
14;0;63;123.5044402;0;59;126.4100016;0;58;124.2653253
15;0;61;122.789849;0;62;123.863769;0;56;121.0545138
16;0;70;123.7603202;0;62;125.0539634;0;62;122.962185
17;0;73;121.4452223;0;60;124.1453568;0;71;120.2620167
18;0;68;117.690022;0;63;123.0334693;0;72;116.1513739
19;0;67;118.258947;0;54;124.9167919;0;62;118.9761553
20;0;77;119.9143623;0;68;123.5198696;1;66;118.4344285
21;0;69;123.8824839;0;69;125.2941996;1;59;123.3032983
22;0;74;125.5072193;0;64;126.9588957;0;65;126.1078347
23;0;70;123.3503055;0;59;126.5695422;0;63;124.3837282
24;1;67;118.8202735;0;56;127.1115934;1;59;122.9804416
25;1;61;115.5177593;0;56;126.1111706;0;63;119.1852442
26;1;56;112.1790374;0;57;125.8336543;0;64;116.8926141
27;2;60;109.2783595;0;60;125.5580849;1;65;114.4930413
28;3;52;102.5675278;0;64;125.1757378;0;58;109.9102644
29;3;55;105.4665069;0;65;123.8500439;1;60;109.3376719
30;2;56;104.2259999;0;70;124.7757594;2;58;109.8557383
31;5;46;98.88946098;0;71;125.2321849;2;65;107.359049
32;2;61;95.58905717;0;68;124.9507371;1;66;104.7934895
33;3;56;93.69986751;1;63;125.3207;2;59;104.4248381
34;3;54;88.18288189;2;66;123.9990681;2;56;96.69212274
35;4;50;89.27835918;1;58;123.8627249;2;54;97.12703994
36;3;56;88.13945791;0;63;125.5084579;3;55;100.9728412
37;2;56;90.23433602;0;63;124.180133;3;49;99.0864728
38;4;49;85.77187603;1;57;123.4543122;4;46;93.81338391
39;4;49;83.11291181;0;64;120.3341094;4;47;85.24723116
40;6;46;79.73360164;0;57;118.988928;3;44;81.33464107
41;5;47;80.86735218;0;54;116.8633156;3;42;79.17019469
42;5;48;81.22353023;1;51;117.9791796;3;47;81.72588823
43;6;38;83.40321758;2;52;119.2444433;3;52;86.03284335
44;5;46;87.24874162;1;61;118.5566566;4;46;86.32608442
45;5;45;88.11390145;1;58;115.794863;4;41;83.2987149
46;4;49;85.80521317;1;56;111.537852;6;35;74.67665994
47;5;45;83.42363577;1;60;109.7023464;5;38;70.00814363
48;5;45;82.47619513;1;53;110.5246493;5;43;69.61111616
49;6;44;78.66887584;1;60;114.4728024;4;46;73.42326858
50;6;46;75.73890454;1;63;110.5866776;6;31;67.16961568
51;5;46;74.75322849;1;62;107.5830929;6;33;64.48553056
52;7;39;66.8303975;1;59;106.1278222;7;28;56.88042189
53;8;37;63.11572011;1;64;107.9487103;8;27;53.76875397
54;8;33;57.53778672;1;59;107.2175831;9;22;47.64427201
55;8;36;54.51757422;1;60;108.0509576;8;28;47.48244645
56;9;25;52.74552395;1;58;105.9542788;8;30;43.7403523
57;8;29;55.32880159;2;56;101.9383592;9;25;43.07765006
58;8;30;53.44262884;2;60;97.1528228;11;15;38.43351306
59;9;19;50.55253724;2;63;95.10232425;11;19;34.29870809
60;9;21;48.89056324;2;62;89.60153215;10;21;29.04714968
61;9;23;47.33067608;2;62;86.15569103;12;13;24.18974464
