trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
2;0;64;124.3143;0;63;124.7492409;0;62;123.4321582
3;1;54;118.095473;0;55;120.455866;1;61;115.1426947
4;2;48;98.62303732;0;51;108.8261572;2;43;89.27438256
5;2;55;97.48527017;1;56;101.0756513;3;41;79.51608645
6;3;52;86.74290506;1;51;95.32990923;4;40;65.72777869
7;3;49;85.65825945;2;43;89.58574223;6;29;62.78946708
8;3;42;72.02888939;2;39;91.215505;7;25;50.91784825
9;5;36;66.04350887;2;42;91.89028787;9;18;48.36391773
10;7;33;57.55102361;2;38;85.88927409;10;19;39.33532375
11;9;23;49.65606038;3;37;68.78288784;11;12;24.98296686
12;10;16;34.26174976;5;27;60.52803762;13;6;16.0320242
13;11;13;31.71225105;6;27;51.90280058;13;6;11.99647349
14;12;17;32.2424977;5;28;51.4259929;13;6;12.81918118
15;12;19;32.83275188;5;29;47.92214344;13;6;10.4252159
16;12;16;27.77460665;5;28;49.6560445;13;5;10.66888498
17;12;13;28.87508748;6;25;41.71567966;13;5;8.8008999
18;12;13;28.9769557;7;21;36.97680077;13;4;8.076815597
19;11;18;24.78830074;9;19;30.38642482;13;4;4.523561956
20;11;18;23.08429472;10;18;28.80389646;14;2;4.392317423
21;11;13;23.03487635;10;18;28.80389646;15;1;3.321928095
22;10;16;28.57454803;10;17;28.52745504;13;4;6.129283017
23;9;18;26.69566865;11;13;24.86930376;13;4;4.321928095
24;10;14;24.85620404;12;8;21.11853115;14;3;2.807354922
25;10;16;24.39824828;12;10;23.1107447;15;1;2
26;9;17;22.76648604;13;9;21.49633254;15;1;1
27;9;19;23.06556175;13;9;21.46846943;15;1;1
28;11;15;18.58165297;13;10;22.45248106;15;1;1
29;12;13;19.20335995;14;4;10.53040634;15;1;1
30;11;16;20.52558294;13;4;10.14210706;15;1;1
31;12;13;19.79862684;14;4;8.573647187;15;1;1
32;11;17;19.39400625;14;5;5.672425342;15;1;1
33;11;14;20.46263706;14;5;6.942514505;15;1;1
34;10;16;23.12959118;13;7;8;15;1;1
35;11;13;22.74642862;14;3;5.857980995;15;1;1
36;11;13;19.55192038;14;4;5.672425342;15;1;1
37;13;4;13.83021808;14;4;6.169925001;15;1;1
38;12;7;13.52429684;14;3;5.614709844;15;1;1
39;13;4;12.10852446;15;2;5.087462841;15;1;1
40;13;4;12.72919586;15;2;5.044394119;15;1;1.584962501
41;13;4;12.01262454;15;2;5.209453366;15;1;2
42;13;4;11.59105477;15;2;4.95419631;15;1;2
43;13;4;11.99788513;15;3;4.459431619;15;1;1.584962501
44;13;4;11.14082977;15;2;2;15;1;1
45;13;4;9.967226259;16;0;0;15;1;1
46;13;4;8.098032083;16;0;0;15;1;1
47;13;4;8.257387843;16;0;0;15;1;1
48;13;6;7.794415866;16;0;1;16;0;0
49;13;6;7.622051819;16;0;1;16;0;0
50;14;5;7.033423002;16;0;1;16;0;0
