trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
4;0;61;127.7050073;0;61;127.7050073;0;61;127.7050073
5;0;69;126.992547;0;68;127.647174;0;71;127.5948016
6;0;68;125.7346191;0;61;124.5458545;0;58;124.6107595
7;0;65;127.6854477;0;58;126.7816173;0;62;127.3892821
8;0;61;127.7645634;0;65;127.1433031;0;70;127.6450011
9;0;64;127.1779266;1;64;124.5226289;0;64;125.7471476
10;0;75;127.6038954;1;56;123.0112637;0;57;125.796704
11;0;67;127.0485639;0;58;123.4068955;0;63;124.9997145
12;0;73;127.0587395;0;65;126.5310993;0;58;126.739722
13;0;70;127.7353861;0;63;125.1141352;0;63;126.8269606
14;0;65;127.3988736;0;66;123.2162947;0;60;125.3985567
15;0;61;125.9901577;0;68;118.9416267;0;61;120.9478633
16;0;68;123.9896647;1;58;114.4237951;1;57;115.6233156
17;0;67;121.0433989;1;55;108.3595039;1;53;108.2615098
18;0;66;116.927832;0;60;103.4532936;1;65;101.4589242
19;1;57;112.5799485;3;53;96.70224761;2;60;92.38261434
20;0;62;112.5277675;3;55;100.2796753;3;55;95.30840637
21;0;63;106.261987;3;55;100.2796753;4;51;89.43794
22;0;67;107.3315575;4;49;100.8376978;3;54;91.27232743
23;0;74;107.427973;4;45;97.98942546;3;56;90.97086289
24;0;70;104.446541;2;51;96.59759592;3;55;87.08480786
25;0;63;98.55427112;3;54;88.90512054;4;48;74.89073448
26;2;57;91.16949256;4;48;89.06303828;6;37;71.64373995
27;1;50;83.8366772;5;45;83.93926107;5;43;63.92181431
28;3;48;81.93969788;5;46;78.6663069;6;39;59.17138588
29;5;46;76.23192136;4;46;73.13963759;7;39;50.79661024
30;4;49;72.38101054;4;38;68.21822435;7;33;44.10280969
31;5;44;63.01423804;5;31;62.18966093;10;21;31.22434654
32;6;40;63.0535076;6;32;57.31407468;9;28;29.5771147
33;7;33;60.8238808;7;39;49.77507181;10;23;27.82087835
34;7;38;52.53250563;8;35;44.54697496;11;18;23.0147198
35;5;40;46.02292697;9;31;39.27888343;13;8;14.55644618
36;6;35;38.2650677;10;27;32.99805315;15;2;7.426264755
37;8;29;37.24084206;11;22;23.23745681;14;6;8.21916852
38;9;22;31.35757797;13;13;18.6808677;14;6;4.087462841
39;9;26;28.6213209;13;13;16.73558247;16;0;0
40;10;22;26.27082062;13;13;17.7561393;15;4;1
41;12;14;21.07650965;13;13;17.77843011;15;4;1.584962501
42;11;18;19.90212629;14;10;13.17086395;16;0;0
43;12;13;18.89914742;14;11;11.03066714;16;0;0
44;13;9;18.24554806;14;11;9.2644426;16;0;0
45;12;13;17.82526316;14;11;8.400879436;16;0;0
46;13;9;15.31213845;15;5;3.700439718;16;0;0
47;13;11;8.787902559;15;5;4;16;0;0
48;14;8;5;15;5;4;16;0;0
49;14;7;4.584962501;15;5;4.392317423;16;0;0
50;14;9;3;15;5;4.392317423;16;0;0
51;15;4;5.044394119;14;10;3;16;0;0
52;14;8;4.087462841;16;0;0;16;0;0
53;13;11;7;16;0;0;16;0;0
54;14;7;3.906890596;14;9;5.129283017;15;5;1
55;15;3;2;14;8;4.523561956;16;0;0
56;15;3;1.584962501;14;8;4.169925001;16;0;0
57;14;8;3.169925001;14;7;4.523561956;16;0;0
58;14;8;3.584962501;14;8;4.247927513;16;0;0
59;14;8;3.169925001;15;4;3.584962501;15;5;1
60;15;5;1.584962501;15;5;3.459431619;15;5;1.584962501
61;15;4;2.807354922;15;3;3;15;5;1.584962501
62;15;4;2.321928095;15;3;3.321928095;15;5;1
63;15;4;1.584962501;16;0;0;16;0;0
64;15;4;2;16;0;0;16;0;0
65;15;4;2;15;4;1;16;0;0
66;15;4;1;16;0;0;16;0;0
67;16;0;0;15;4;2;16;0;0
68;16;0;0;15;4;1;16;0;0
69;16;0;0;15;4;1;16;0;0
70;16;0;0;15;4;1;16;0;0
71;15;6;1;15;4;1;16;0;0
72;16;0;0;15;4;1;16;0;0
73;16;0;0;15;4;1;16;0;0
74;16;0;0;15;4;1;16;0;0
75;15;6;1;16;0;0;16;0;0
76;16;0;0;16;0;0;16;0;0
77;16;0;0;16;0;0;16;0;0
78;15;3;1;16;0;0;16;0;0
79;15;3;1;16;0;0;16;0;0
80;15;3;1;16;0;0;16;0;0
