trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
2;1;67;123.2974895;0;61;124.3143;1;61;121.5456165
3;0;56;110.189667;1;59;117.3717181;2;54;104.9301411
4;0;45;102.4901834;2;49;108.4424835;2;38;87.60939661
5;1;49;89.65795514;0;52;100.8281407;1;40;72.65756426
6;1;34;79.72407054;1;46;96.46599077;3;24;59.94447705
7;1;35;69.58968701;2;47;96.25109195;3;27;58.40531205
8;2;24;67.40986419;1;44;89.34096387;3;24;52.00409915
9;3;25;61.60148367;2;38;81.76183764;3;21;43.83008363
10;4;24;58.59630612;2;32;72.97376515;3;22;39.27071972
11;1;33;56.30808095;1;37;73.29321957;4;25;38.49725053
12;3;29;50.88484683;2;42;75.24252542;6;18;36.40062787
13;3;28;46.31569126;1;37;76.10541348;5;16;40.17746926
14;4;23;44.48100609;1;38;75.13096042;5;14;41.25645214
15;4;23;43.84846742;2;35;74.77833655;4;18;39.65502607
16;4;22;42.28561417;3;28;71.12304501;4;14;38.16390447
17;4;23;42.91547948;2;32;69.71431043;3;17;37.31651205
18;4;23;40.78707376;2;37;68.89826888;4;15;35.64377043
19;4;22;41.46508928;2;39;68.95532594;4;15;35.86252296
20;4;17;38.39271564;2;38;65.55495496;4;15;34.46876026
21;4;17;36.2530043;2;37;65.09714848;3;16;33.22544046
22;5;17;35.843491;2;32;61.90887003;3;16;33.43755528
23;6;16;35.08192567;2;33;59.32782082;4;15;32.90774748
24;5;14;34.95448652;2;32;58.56747719;3;16;33.44645507
25;5;14;34.01610317;2;32;57.35853201;3;16;32.39517127
26;6;13;34.11671689;2;29;54.74696414;3;16;32.31935679
27;7;13;32.08153381;2;25;52.64948766;3;16;31.59912784
28;6;13;31.60227454;2;28;52.57919431;3;16;31.45132268
29;5;14;32.80639196;2;29;50.75395453;3;16;31.26805964
30;6;14;31.92623843;2;29;49.15943141;3;16;30.8243193
31;6;14;32.52450774;3;23;48.99488654;3;18;30.7039216
32;6;14;32.10591234;3;24;47.02908732;3;18;30.63863517
33;5;13;38.70212363;2;26;49.37974368;3;17;31.32691762
34;4;18;39.60780899;1;30;49.66248555;4;15;30.57568564
35;3;19;39.4665917;3;28;47.75732112;5;14;29.90897341
36;3;19;39.15898954;2;30;47.73376691;5;13;30.10174997
37;3;18;39.85218675;3;25;47.14518543;5;13;30.10099754
38;4;17;38.3106134;3;25;47.84349758;5;13;30.93774459
39;4;17;38.08181421;3;21;45.75409645;5;13;30.54733242
