trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
50;0;74;124.5792346;0;72;124.8929102;0;77;124.2883181
100;0;71;125.2324693;4;52;88.56627887;0;80;109.4938568
150;0;57;123.2281758;10;28;30.47638953;3;51;65.32998105
200;0;63;123.1210089;12;19;24.45709539;8;37;55.5405151
250;0;63;122.4927643;14;7;10.91288934;10;24;29.48256652
300;1;57;113.2654581;15;3;7.906890596;12;17;16.10408681
350;2;60;107.5283605;16;0;0;14;7;7.483815777
400;2;57;108.1908815;16;0;0;15;3;2.807354922
450;1;58;104.7482049;16;0;0;15;4;1
500;1;61;103.020949;16;0;0;16;0;0
550;2;55;102.2572902;16;0;0;15;5;1
600;3;56;97.90215326;16;0;0;16;0;0
650;2;59;101.9280859;16;0;0;16;0;0
700;3;60;96.95992526;16;0;0;16;0;0
750;3;59;91.59585695;16;0;0;16;0;0
800;5;53;86.75027449;16;0;0;16;0;0
850;6;46;86.3386984;16;0;0;16;0;0
900;5;57;79.55767857;16;0;0;16;0;0
950;3;63;83.14004362;16;0;0;16;0;0
